media_sha256,transcript_nonempty,transcript_confidence,transcript_chars,transcript_sha256,segment_count,backend_id
1dd8b92b471bce032b2a6f8525200e1040f0403811bac7b1650a43e68c479b60,1,0.37846719750726016,182,5740c885cdbd6c059e69d0093eac780fe72e634ff26b400491a98e9443c6928f,7,openai-whisper-large-v3
1de2639cd4f53689e52f78d6ff835d481a53c02c0272c03ccf37d276c2fcf4ea,1,0.5810504192361211,293,de00c715af44c98de567742b8892e28bb6b08e95151af1ce054f8e36e7bdac0f,5,openai-whisper-large-v3
1ec53ccc077fefa4814fecdeecf87db4c90a385974ad5f048c6665fdea146c22,1,0.4051311894661691,189,74821ae5ef0026a00ffc0f769526984a8a4c232269d5df7dc55d8b95fdeca53d,5,openai-whisper-large-v3
1f34327ef525927c7318aa845a57f722a8d306c2434819bf491f9897116f1bb1,1,0.28725146321579914,16,5f20998da4d32f30320f02d3b00584f5aac5d1dc9340edb6a0f9140656548602,2,openai-whisper-large-v3
202ac5385d0703425d258b8f79342d226d561f830eeb6c2efd9397e521ae43b3,1,0.37817253446418686,120,246cb6f76c8c59dc8afc88c6a11479d9a04d9b3b9cfbd9cea449c5b7e9f8e21f,5,openai-whisper-large-v3
203b8ce69551028201f1b35167c93dec288852e25fd9abf36c06f2d214a0c649,1,0.2744887549324937,136,a566a76b7b7aae5b9876e5eb23422834d12cc61ba03f761cc081eb45ad788e3a,13,openai-whisper-large-v3
2073aff220ad9f542c0a6f279bd101b198f0a0f42fccb83483da3fa8777d1045,1,0.660109609898612,182,f39c26bbf88b382997b79c5b091bb6a63a6be3893e6f165d08ebeccb44f0a071,23,openai-whisper-large-v3
21092c3bea8849435c9d5ddd554943d2de25c1a98b0d24fb77a29ee208c448de,1,0.20016130662298462,1025,3ca9465a2c15f02c3673e753271c39cac119eab67e985b10e7a310b4627dcf30,22,openai-whisper-large-v3
2199da5ba499f55e37ab1850a01ad6db948997e915cd27f1ec46ac953321e6d1,1,0.4522976925208639,135,91086b1891e19d8e3f9da5b2463e4f0d0300271ed0e1fe77bbf710d0e28f6868,3,openai-whisper-large-v3
2238625417ac3dbc22c31ebf97e5751624019e6e284b28a09e71445c5d7de19b,1,0.5963871135555597,148,54a59198877b547d03af96e5f46451fdc90c4488a18b30d2f27da8a8c2113575,6,openai-whisper-large-v3
22c025e2c749fba285564867961cbb2bb0fde468bcd32a85efdb881bc7f5a5d9,1,0.6406058843832834,136,2b47cfb6604e0d486c573100925af745317ca823b0c9fe9d54672bceaa8c6754,6,openai-whisper-large-v3
240df20a593415c6f5126d62de756197117509eec624ed9fdb86e7c223abad57,1,0.3824730261153865,168,ddab720004d15df15ef2a81ed2a47dd01d02955bafdc0aa59a9d70dc7b090f9a,7,openai-whisper-large-v3
24357be13b98c62f917ec5f52a49ddfa9bcee80d7965ab6f5803359b708bfb65,1,0.2418346279516834,118,6b2ebc9bc8dc9c603c716fde3a12250e931a91a470202cd69be4709b6ae09ee4,5,openai-whisper-large-v3
24ce07c436292aef2a2ebae7a2366736b92b49134e880e3cb4093780ff0eb9aa,1,0.3124738346873339,819,dc6f551d7d476cf9cb23c693d38c0297e997beea50b85240fdb75215b9558a9c,23,openai-whisper-large-v3
24e13afd71e9f24f756fdec34e7cad3582202a39170a6dcb77c8f6d31bbdc34d,1,0.4953841452643921,101,174bbb0a5f831045d610f99ffb7d495c20bba770278a0853d8bd4651e0020648,3,openai-whisper-large-v3
253fd29e427fd26eed8be3f99088c42b9b6944ddd79863737ffac3cf8f16ca7a,1,0.2914101895298232,74,e22d04e60db20f63f083ce784fb5d1cac7f43d1558859d1d01e0f4f00bef95f3,8,openai-whisper-large-v3
25811a2bccb530bbfb1b12335c2918e6463e1d148653f8f2c4a931198acd6f61,1,0.5197351858497867,105,42cf6b35379173eb949eb8e6734c4ad8b4bb9fa1f67af46897cc26eb91c9590f,3,openai-whisper-large-v3
260396bd88303495e5f57f8db361f406f692c40891a3bc99a8d5df497464a092,1,0.1802254846723541,21,2f0ae002ad5af267597a2279ef84257e84849249f289021016cf1ad27124a53f,2,openai-whisper-large-v3
