clip_id,manifest_index,prompt_id,stratum,prompt_text,replicate,seed,output_path
exit1_uncond_163,163,neutral_02,neutral_text,a musical composition,3,2036000163,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_163_seed2036000163.flac
exit1_uncond_164,164,neutral_02,neutral_text,a musical composition,4,2036000164,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_164_seed2036000164.flac
exit1_uncond_165,165,neutral_02,neutral_text,a musical composition,5,2036000165,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_165_seed2036000165.flac
exit1_uncond_166,166,neutral_02,neutral_text,a musical composition,6,2036000166,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_166_seed2036000166.flac
exit1_uncond_167,167,neutral_02,neutral_text,a musical composition,7,2036000167,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_167_seed2036000167.flac
exit1_uncond_168,168,neutral_02,neutral_text,a musical composition,8,2036000168,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_168_seed2036000168.flac
exit1_uncond_169,169,neutral_02,neutral_text,a musical composition,9,2036000169,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_169_seed2036000169.flac
exit1_uncond_170,170,neutral_02,neutral_text,a musical composition,10,2036000170,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_170_seed2036000170.flac
exit1_uncond_171,171,neutral_02,neutral_text,a musical composition,11,2036000171,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_171_seed2036000171.flac
exit1_uncond_172,172,neutral_02,neutral_text,a musical composition,12,2036000172,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_172_seed2036000172.flac
exit1_uncond_173,173,neutral_02,neutral_text,a musical composition,13,2036000173,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_173_seed2036000173.flac
exit1_uncond_174,174,neutral_02,neutral_text,a musical composition,14,2036000174,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_174_seed2036000174.flac
exit1_uncond_175,175,neutral_02,neutral_text,a musical composition,15,2036000175,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_175_seed2036000175.flac
exit1_uncond_176,176,neutral_03,neutral_text,a short music track,0,2036000176,analysis_exit1/unconditional_run_20260716/audio/neutral_03/exit1_uncond_176_seed2036000176.flac
exit1_uncond_177,177,neutral_03,neutral_text,a short music track,1,2036000177,analysis_exit1/unconditional_run_20260716/audio/neutral_03/exit1_uncond_177_seed2036000177.flac
