prompt_id,stratum,selection_bin,successes,attempts,p_hat,assigned_regime,prob_rare_le_1_in_16,prob_low_1_in_16_to_1_in_4,prob_seed_recoverable_1_in_4_to_1_in_2,prob_easy_ge_1_in_2,max_membership_probability,membership_flag,population_weight
held_out_0195,vocal,0,92,128,0.71875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0198,vocal,0,96,128,0.75,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0201,instrumental,0,118,128,0.921875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0203,vocal,1,31,128,0.2421875,low_1_in_16_to_1_in_4,0.0,0.5406,0.4594,0.0,0.5406,uncertain,2.0
held_out_0204,vocal,7,18,128,0.140625,low_1_in_16_to_1_in_4,0.0044,0.995,0.0006,0.0,0.995,stable,1.0
held_out_0205,vocal,0,48,128,0.375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0011,0.9963,0.0026,0.9963,stable,2.0344827586206895
held_out_0206,instrumental,1,110,128,0.859375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0207,instrumental,2,86,128,0.671875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.25
held_out_0212,vocal,0,76,128,0.59375,easy_ge_1_in_2,0.0,0.0,0.0105,0.9895,0.9895,stable,2.0344827586206895
held_out_0213,vocal,1,37,128,0.2890625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.139,0.861,0.0,0.861,stable,2.0
held_out_0216,vocal,0,106,128,0.828125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0221,vocal,1,63,128,0.4921875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.5404,0.4596,0.5404,uncertain,2.0
held_out_0222,instrumental,4,70,128,0.546875,easy_ge_1_in_2,0.0,0.0,0.1234,0.8766,0.8766,stable,2.0
held_out_0223,instrumental,0,123,128,0.9609375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0226,vocal,2,52,128,0.40625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.9793,0.0207,0.9793,stable,1.9230769230769231
held_out_0227,vocal,0,74,128,0.578125,easy_ge_1_in_2,0.0,0.0,0.0336,0.9664,0.9664,stable,2.0344827586206895
held_out_0231,instrumental,0,123,128,0.9609375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0232,vocal,0,63,128,0.4921875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.5384,0.4616,0.5384,uncertain,2.0344827586206895
held_out_0234,vocal,4,14,128,0.109375,low_1_in_16_to_1_in_4,0.0521,0.9479,0.0,0.0,0.9479,stable,2.0
held_out_0235,instrumental,2,117,128,0.9140625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.25
held_out_0236,instrumental,8,79,128,0.6171875,easy_ge_1_in_2,0.0,0.0,0.0025,0.9975,0.9975,stable,2.0
held_out_0237,vocal,0,62,128,0.484375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.6003,0.3997,0.6003,uncertain,2.0344827586206895
held_out_0238,instrumental,6,28,128,0.21875,low_1_in_16_to_1_in_4,0.0,0.7664,0.2336,0.0,0.7664,uncertain,2.0
held_out_0239,vocal,1,75,128,0.5859375,easy_ge_1_in_2,0.0,0.0,0.0169,0.9831,0.9831,stable,2.0
held_out_0240,vocal,6,1,128,0.0078125,rare_le_1_in_16,1.0,0.0,0.0,0.0,1.0,stable,1.5
held_out_0243,instrumental,0,126,128,0.984375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0244,vocal,1,43,128,0.3359375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0117,0.9882,0.0001,0.9882,stable,2.0
held_out_0247,instrumental,0,123,128,0.9609375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0250,vocal,1,25,128,0.1953125,low_1_in_16_to_1_in_4,0.0,0.9289,0.0711,0.0,0.9289,stable,2.0
held_out_0252,instrumental,1,117,128,0.9140625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0253,instrumental,5,54,128,0.421875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.9558,0.0442,0.9558,stable,2.0
held_out_0254,vocal,5,3,128,0.0234375,rare_le_1_in_16,0.9967,0.0033,0.0,0.0,0.9967,stable,2.0
held_out_0255,vocal,2,13,128,0.1015625,low_1_in_16_to_1_in_4,0.09,0.91,0.0,0.0,0.91,stable,1.9230769230769231
