rating_id,judge_clip_id,media_sha256,duplicate_group_size
aprime_0168_9cb61a417965,aprime_global_6e5bfc6c4a96fa63f8b5,6e5bfc6c4a96fa63f8b540ae23fe8ef9779e171c309231da66906a922dee159e,1
aprime_0170_84235b40b160,aprime_global_240df20a593415c6f512,240df20a593415c6f5126d62de756197117509eec624ed9fdb86e7c223abad57,1
aprime_0171_d2f5c551d7f3,aprime_global_5f19f28e52c46216590a,5f19f28e52c46216590a0e57bfbb75db50480567ce2b1a33855deb87b545cc67,1
aprime_0172_f587b7170dc5,aprime_global_8457212a1f38f693ef87,8457212a1f38f693ef8775ea82629c1c2cc7506ae51c009305061ef900ba7dd3,1
aprime_0173_f2dd7cc62700,aprime_global_e21238aa1405d402373c,e21238aa1405d402373c0e3cae98d1ceb8ef044a20f4434288741cdb5a6cedb5,1
aprime_0174_cd2797a2ac80,aprime_global_538de4deda24e0ea4e3b,538de4deda24e0ea4e3b8811f634d70912622bd7232c95bab2f5b1ce74d59627,1
aprime_0176_ce0c239ff3bd,aprime_global_511947590f0452e62d4a,511947590f0452e62d4ad778df5af4590df9d0d91141647ffbe8389d01ead668,1
aprime_0177_a3079633e016,aprime_global_2b280b69a9a06b27f7f3,2b280b69a9a06b27f7f3cf75147e3a06b70900c453ef68fde1721ffeeb563286,1
aprime_0179_6abe6ecf0ba7,aprime_global_c5301325da50fa1d1b62,c5301325da50fa1d1b62de33aacd50e79327f3d2c880163049353c9ecfbe7f6c,1
aprime_0180_5670f859354c,aprime_global_a10148905087a4d8b485,a10148905087a4d8b48592568212735b098112ed3c1a1d9629fa3c8999df614f,1
aprime_0182_dfbb9741cbdf,aprime_global_2dc684c27e98b6d2ebd5,2dc684c27e98b6d2ebd5882ba4abcbdfaccb403c465c968f531b8a11fb86a58f,1
aprime_0184_fe63ef48285d,aprime_global_4586978f37fe59081795,4586978f37fe59081795e87345985c9ebc69f53863913da3e5fa23aa61d274d9,1
aprime_0185_98ee5e27505f,aprime_global_964c4a60d23d1fd10c94,964c4a60d23d1fd10c94d556efcef8dc920cde96c9da0933a33e106a37a36110,1
aprime_0187_c658dd759ad3,aprime_global_0f08e7743a954fae0503,0f08e7743a954fae0503210a4e390c374500761d1552d5f2a91585b7846279c5,1
