source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a6_r1_t01_seed2026330101.flac,PH2_ONLINE,online_run,held_out_0012,arm6,6,1,1,2026330101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w12.jsonl,6535022
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a1_r0_t03_seed2026331003.flac,PH2_ONLINE,online_run,held_out_0013,arm1,1,0,3,2026331003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w13.jsonl,13186862
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a1_r1_t00_seed2026331100.flac,PH2_ONLINE,online_run,held_out_0013,arm1,1,1,0,2026331100,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w13.jsonl,13186812
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a6_r0_t03_seed2026331003.flac,PH2_ONLINE,online_run,held_out_0013,arm6,6,0,3,2026331003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w13.jsonl,13312384
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a6_r1_t02_seed2026331102.flac,PH2_ONLINE,online_run,held_out_0013,arm6,6,1,2,2026331102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w13.jsonl,12798007
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a1_r0_t00_seed2026332000.flac,PH2_ONLINE,online_run,held_out_0014,arm1,1,0,0,2026332000,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w14.jsonl,8841328
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a1_r1_t01_seed2026332101.flac,PH2_ONLINE,online_run,held_out_0014,arm1,1,1,1,2026332101,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w14.jsonl,8270238
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a6_r0_t00_seed2026332000.flac,PH2_ONLINE,online_run,held_out_0014,arm6,6,0,0,2026332000,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w14.jsonl,8841328
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a6_r1_t03_seed2026332103.flac,PH2_ONLINE,online_run,held_out_0014,arm6,6,1,3,2026332103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w14.jsonl,8640107
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a1_r0_t01_seed2026333001.flac,PH2_ONLINE,online_run,held_out_0015,arm1,1,0,1,2026333001,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w15.jsonl,8475675
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a1_r1_t01_seed2026333101.flac,PH2_ONLINE,online_run,held_out_0015,arm1,1,1,1,2026333101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w15.jsonl,8364784
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a6_r0_t01_seed2026333001.flac,PH2_ONLINE,online_run,held_out_0015,arm6,6,0,1,2026333001,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w15.jsonl,8475675
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a6_r1_t01_seed2026333101.flac,PH2_ONLINE,online_run,held_out_0015,arm6,6,1,1,2026333101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w15.jsonl,8364784
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a1_r0_t03_seed2026334003.flac,PH2_ONLINE,online_run,held_out_0016,arm1,1,0,3,2026334003,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15426399
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a1_r1_t02_seed2026334102.flac,PH2_ONLINE,online_run,held_out_0016,arm1,1,1,2,2026334102,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,14492929
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t02_seed2026334002.flac,PH2_ONLINE,online_run,held_out_0016,arm6,6,0,2,2026334002,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,15683090
