media_sha256,audioset_human_voice_score,audioset_top_human_voice_class,windows,score_source,old_audioset_vocal_score,old_audioset_top_vocal_class,was_rescored
19d6bfd44f2db2920f893095e6b478d428feff877d0af933eb52c2952ae83883,0.09672079235315323,Female singing,8,v1_superset_max_is_exact_whitelist_member,0.09672079235315323,Female singing,0
1a1ea8cdf4261be7d32dd354e242eb6df8d43c53b3614ec1b0e1a3214360d339,0.04831710085272789,Singing,8,v1_superset_max_is_exact_whitelist_member,0.04831710085272789,Singing,0
1b56e8bdd1b99c9b1ebb56aa49a643af5e5213bde54417b1815c782ee677ba6e,0.43490275740623474,Speech,14,v1_superset_max_is_exact_whitelist_member,0.43490275740623474,Speech,0
1bc249ee6ae79b83f8fe4b74e9a1941c9e35252be663212d6f00d8594fa9984d,0.3421691954135895,Speech,8,v1_superset_max_is_exact_whitelist_member,0.3421691954135895,Speech,0
1c685f428107106ca2d4e5fb9db9dd8a67f30ffc567bae7bcddb9daf461bfc4e,0.005657917819917202,Speech,6,rescored_exact_human_voice_whitelist,0.009009727276861668,Whale vocalization,1
1c7caf3b3c4b017adde9d82ab1775fbc92787072ebd7aa89da6668d6875338e1,0.07129381597042084,Speech,8,v1_superset_max_is_exact_whitelist_member,0.07129381597042084,Speech,0
1cb1b52508048a167743f2a4c503240d120030f6223ace82c8e0a0faf57abfda,0.850538432598114,Speech,8,v1_superset_max_is_exact_whitelist_member,0.850538432598114,Speech,0
1cb5377ff955665798f7f03ea6e8a940cf18ba1c27281e82508e21d5788bb5b3,0.26967087388038635,Rapping,6,v1_superset_max_is_exact_whitelist_member,0.26967087388038635,Rapping,0
1cd5b61da842c9d34bff0c1a3d617243beadb5de785b258c3f07e24d7aef6349,0.5812037587165833,Speech,6,v1_superset_max_is_exact_whitelist_member,0.5812037587165833,Speech,0
1cd85e17104b40001854bf4b4f98ceb8a8c743e0316d090077db076db79dfe58,0.08562955260276794,Singing,6,v1_superset_max_is_exact_whitelist_member,0.08562955260276794,Singing,0
1d002b183022b8df6ff50f3690ff80c7d13d729aae033b2e2616cb6cd6eb8fe4,0.1656627506017685,Speech,12,v1_superset_max_is_exact_whitelist_member,0.1656627506017685,Speech,0
1d04274f10c8d534825223d42a1f6178c57b0b5f3660289809b18e6eb94e20e1,0.54041588306427,Speech,14,v1_superset_max_is_exact_whitelist_member,0.54041588306427,Speech,0
1d9146b57c82bee80ef9ab7a3836ccaccc46c570ed15cf890b9d700bf00322d7,0.2058047503232956,Speech,6,v1_superset_max_is_exact_whitelist_member,0.2058047503232956,Speech,0
1db0e264a6e0f87826f99e9aa82efbc73b6bbcf6ea8c18844ea95dcf3f75332c,0.27582496404647827,Singing,7,v1_superset_max_is_exact_whitelist_member,0.27582496404647827,Singing,0
1dd8b92b471bce032b2a6f8525200e1040f0403811bac7b1650a43e68c479b60,0.4006638526916504,Speech,13,v1_superset_max_is_exact_whitelist_member,0.4006638526916504,Speech,0
1de2639cd4f53689e52f78d6ff835d481a53c02c0272c03ccf37d276c2fcf4ea,0.6582841277122498,Speech,12,v1_superset_max_is_exact_whitelist_member,0.6582841277122498,Speech,0
