schedule,compute_fraction,selection_metric,evaluation_metric,stratum,n_prompt_evals,reward_fraction,winner_match,mean_regret,median_regret
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,section_coherence,vocal,316,0.9983274545583759,0.6835443037974683,0.0016178894269315502,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,section_coherence,vocal,316,0.9986724511078244,0.7278481012658228,0.00128416679328001,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,section_coherence,vocal,31600,0.992048436981726,0.24825949367088607,0.0076917191094990015,0.0060179829597473145
full_bon8,1.0,common_robust_lcb,common_robust_lcb,instrumental,196,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,common_robust_lcb,instrumental,196,0.981604894672335,0.46938775510204084,0.04509585888156424,0.009002920820027072
bon4_random_subset,0.5,common_robust_lcb,common_robust_lcb,instrumental,19600,0.9821656568874733,0.5033673469387755,0.04372114244099271,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,common_robust_lcb,instrumental,196,0.9847771454954338,0.5714285714285714,0.03731904146697541,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,common_robust_lcb,instrumental,196,0.9901667844994573,0.6530612244897959,0.024106265806349777,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,common_robust_lcb,instrumental,196,0.998951546107527,0.9489795918367347,0.002570299432191198,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,common_robust_lcb,instrumental,196,0.998951546107527,0.9489795918367347,0.002570299432191198,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,common_robust_lcb,instrumental,196,0.9996802258435279,0.9744897959183674,0.0007839308325433263,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,common_robust_lcb,instrumental,19600,0.9567818881549975,0.25510204081632654,0.10594980774362885,0.07581080230910597
full_bon8,1.0,common_robust_lcb,aesthetic_pq,instrumental,196,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,aesthetic_pq,instrumental,196,0.9820327756280192,0.5255102040816326,0.14102016176496232,0.0
bon4_random_subset,0.5,common_robust_lcb,aesthetic_pq,instrumental,19600,0.9802102137676962,0.4962755102040816,0.15532498498352207,0.001674652099609375
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,aesthetic_pq,instrumental,196,0.9860938684101386,0.6173469387755102,0.10914568025238659,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,aesthetic_pq,instrumental,196,0.9935563748038887,0.7551020408163265,0.05057437079293387,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,aesthetic_pq,instrumental,196,0.9985740915293857,0.9438775510204082,0.011191591924550583,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,aesthetic_pq,instrumental,196,0.9985740915293857,0.9438775510204082,0.011191591924550583,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,aesthetic_pq,instrumental,196,0.9999133915211951,0.9846938775510204,0.0006797678616582131,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,aesthetic_pq,instrumental,19600,0.9516622894006921,0.2503061224489796,0.3793903625254728,0.2607564926147461
full_bon8,1.0,common_robust_lcb,aesthetic_cu,instrumental,196,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,aesthetic_cu,instrumental,196,0.9825936828797707,0.47959183673469385,0.1373955400622621,0.0212862491607666
bon4_random_subset,0.5,common_robust_lcb,aesthetic_cu,instrumental,19600,0.9824543741069378,0.5003061224489795,0.13849516406351206,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,aesthetic_cu,instrumental,196,0.9871562251837861,0.6122448979591837,0.10138143325338558,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,aesthetic_cu,instrumental,196,0.9939012546706164,0.7244897959183674,0.04814001735375852,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,aesthetic_cu,instrumental,196,0.9994256359781484,0.9591836734693877,0.004533702013443927,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,aesthetic_cu,instrumental,196,0.9994256359781484,0.9591836734693877,0.004533702013443927,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,aesthetic_cu,instrumental,196,0.9998788123200402,0.9744897959183674,0.0009565864290509905,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,aesthetic_cu,instrumental,19600,0.957282990116202,0.24948979591836734,0.3371837133777385,0.21820640563964844
full_bon8,1.0,common_robust_lcb,semantic_fit,instrumental,196,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,semantic_fit,instrumental,196,0.912236270820186,0.45408163265306123,0.041692073932107616,0.015524983406066895
bon4_random_subset,0.5,common_robust_lcb,semantic_fit,instrumental,19600,0.9332080177293289,0.5053061224489795,0.03172946602115598,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,semantic_fit,instrumental,196,0.8649010645784769,0.3163265306122449,0.06417861748106625,0.04439781606197357
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,semantic_fit,instrumental,196,0.8780133416490111,0.3112244897959184,0.057949643049921305,0.034824125468730927
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,semantic_fit,instrumental,196,0.9809491017671125,0.8112244897959183,0.009050110621111733,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,semantic_fit,instrumental,196,0.9809491017671125,0.8112244897959183,0.009050110621111733,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,semantic_fit,instrumental,196,0.9804445734718047,0.8163265306122449,0.009289786295623196,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,semantic_fit,instrumental,19600,0.84645263132854,0.2495408163265306,0.07294252769974041,0.05346868932247162
full_bon8,1.0,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,1.0,0.0,0.0
bon4_random_subset,0.5,common_robust_lcb,lyric_intelligibility,instrumental,19600,1.0,0.49887755102040815,0.0,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,0.2857142857142857,0.0,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,0.2602040816326531,0.0,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,0.7653061224489796,0.0,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,0.7653061224489796,0.0,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,lyric_intelligibility,instrumental,196,1.0,0.7602040816326531,0.0,0.0
