schedule,compute_fraction,metric,stratum,n_prompt_evals,reward_fraction,mean_selected_reward,mean_full_bon8_reward,winner_match,top2_all_retention,top2_any_retention,top4_all_retention,top4_any_retention,false_negative_top1_prompt_rate,false_negative_top2_candidate_rate,mean_regret,median_regret
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,vocal,316,0.9985440709077325,2.2960550719178405,2.299402839406575,0.939873417721519,0.8481012658227848,0.9968354430379747,0.5981012658227848,1.0,0.060126582278481014,0.07753164556962025,0.0033477674887342577,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,vocal,316,0.9985440709077325,2.2960550719178405,2.299402839406575,0.939873417721519,0.8481012658227848,0.9968354430379747,0.5981012658227848,1.0,0.060126582278481014,0.07753164556962025,0.0033477674887342577,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,vocal,316,0.9997975146135843,2.2989372439341125,2.299402839406575,0.9841772151898734,0.9335443037974683,1.0,0.7753164556962026,1.0,0.015822784810126583,0.03322784810126582,0.00046559547246267035,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,vocal,31600,0.9578448024013149,2.202471058352413,2.299402839406575,0.250126582278481,0.036645569620253164,0.46237341772151896,0.0,0.7858860759493671,0.7498734177215189,0.750490506329114,0.09693178105416196,0.06702280426648866
full_bon8,1.0,common_robust_lcb,instrumental,196,1.0,2.451514034754856,2.451514034754856,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,instrumental,196,0.981604894672335,2.4064181758732914,2.451514034754856,0.46938775510204084,0.22448979591836735,0.7755102040816326,0.02040816326530612,0.9846938775510204,0.5306122448979592,0.5,0.04509585888156424,0.009002920820027072
bon4_random_subset,0.5,common_robust_lcb,instrumental,19600,0.9821656568874733,2.407792892313863,2.451514034754856,0.5033673469387755,0.21510204081632653,0.7866326530612245,0.01413265306122449,0.9864795918367347,0.4966326530612245,0.4991326530612245,0.04372114244099271,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,instrumental,196,0.9847771454954338,2.4141949932878806,2.451514034754856,0.5714285714285714,0.20918367346938777,0.7551020408163265,0.0,0.9336734693877551,0.42857142857142855,0.5178571428571429,0.03731904146697541,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,instrumental,196,0.9901667844994573,2.4274077689485063,2.451514034754856,0.6530612244897959,0.2602040816326531,0.8163265306122449,0.0,0.9642857142857143,0.3469387755102041,0.461734693877551,0.024106265806349777,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,instrumental,196,0.998951546107527,2.448943735322665,2.451514034754856,0.9489795918367347,0.826530612244898,0.9846938775510204,0.5153061224489796,1.0,0.05102040816326531,0.09438775510204081,0.002570299432191198,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,instrumental,196,0.998951546107527,2.448943735322665,2.451514034754856,0.9489795918367347,0.826530612244898,0.9846938775510204,0.5153061224489796,1.0,0.05102040816326531,0.09438775510204081,0.002570299432191198,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,instrumental,196,0.9996802258435279,2.4507301039223126,2.451514034754856,0.9744897959183674,0.9030612244897959,1.0,0.673469387755102,1.0,0.025510204081632654,0.04846938775510204,0.0007839308325433263,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,instrumental,19600,0.9567818881549975,2.345564227011227,2.451514034754856,0.25510204081632654,0.03806122448979592,0.4670408163265306,0.0,0.7883163265306122,0.7448979591836735,0.7474489795918368,0.10594980774362885,0.07581080230910597
full_bon8,1.0,common_robust_lcb,vocal_scorable,282,1.0,2.305567139330315,2.305567139330315,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,vocal_scorable,282,0.9809325836985866,2.2616059308738454,2.305567139330315,0.48226950354609927,0.22340425531914893,0.7624113475177305,0.01773049645390071,0.9822695035460993,0.5177304964539007,0.5070921985815603,0.04396120845646979,0.0020130564791436267
bon4_random_subset,0.5,common_robust_lcb,vocal_scorable,28200,0.9819145509841045,2.2638699223792327,2.305567139330315,0.49868794326241134,0.2125177304964539,0.7805319148936171,0.014787234042553192,0.985886524822695,0.5013120567375886,0.5034751773049645,0.041697216951082534,6.196539493075193e-05
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,vocal_scorable,282,0.9874456875142037,2.276622329006179,2.305567139330315,0.5815602836879432,0.2127659574468085,0.8191489361702128,0.0,0.975177304964539,0.41843971631205673,0.48404255319148937,0.02894481032413613,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,vocal_scorable,282,0.9913378363324857,2.2855959394229934,2.305567139330315,0.6666666666666666,0.2978723404255319,0.8794326241134752,0.0,0.9858156028368794,0.3333333333333333,0.41134751773049644,0.019971199907321546,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,vocal_scorable,282,0.9983985425797615,2.3018748717271764,2.305567139330315,0.9361702127659575,0.8475177304964538,0.9964539007092199,0.6063829787234043,1.0,0.06382978723404255,0.07801418439716312,0.00369226760313861,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,vocal_scorable,282,0.9983985425797615,2.3018748717271764,2.305567139330315,0.9361702127659575,0.8475177304964538,0.9964539007092199,0.6063829787234043,1.0,0.06382978723404255,0.07801418439716312,0.00369226760313861,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,vocal_scorable,282,0.9997993553680914,2.3051045396603036,2.305567139330315,0.9858156028368794,0.9397163120567376,1.0,0.7801418439716312,1.0,0.014184397163120567,0.030141843971631204,0.00046259967001158295,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,vocal_scorable,28200,0.9563584693129368,2.2049486602681467,2.305567139330315,0.24453900709219858,0.03634751773049645,0.45606382978723403,0.0,0.7827304964539007,0.7554609929078014,0.7537943262411347,0.10061847906216834,0.07116139505725538
full_bon8,1.0,aesthetic_pq,all,512,1.0,7.932194232940674,7.932194232940674,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,aesthetic_pq,all,512,0.9834425541868622,7.800857356749475,7.932194232940674,0.49609375,0.181640625,0.783203125,0.009765625,0.984375,0.50390625,0.517578125,0.13133687619119883,0.002628326416015625
