prompt_id,root_index,checkpoint_step,oracle_action,oracle_cqs,oracle_cost_nfe,oracle_output_sha256,oracle_level,oracle_selected,oracle_success_count,oracle_option_value,stratum,design_weight,best_static_program,best_static_cqs,best_static_nfe,oracle_tree_nfe,oracle_minimum_success_nfe,oracle_cheapest_successful,oracle_quality_floor_failures,oracle_completion,compute_saving,matched_oracle_nfe,nonstatic_program
dev_0130,1,6,RESTART_CONDITIONED,1,51,1ca68fe2cdefba4214f8ec75bf4165a8c37bbfdd3a231484928ae42a4f72cdd7,,,,,,,,,,,,,,,,,
dev_0130,1,12,CONTINUE,1,45,bdc0c37c206e34529ab48f4354678a860c2652d1dd3beac20e2a268b153d2d30,,,,,,,,,,,,,,,,,
dev_0130,1,18,SWITCH_CONDITION,1,45,b0c99860efcea227bca3e1a01f60268bc8133a8d19c1107418dfe540566d95d8,,,,,,,,,,,,,,,,,
dev_0130,0,,,1,89,,per_root_feasible_subset,root0_base;root0_step12_SWITCH_CONDITION;root0_step18_SWITCH_CONDITION,3,42.34389578548822,,,,,,,,,,,,,
dev_0130,1,,,1,77,,per_root_feasible_subset,root1_base;root1_step18_SWITCH_CONDITION;root1_step18_FORK_LATENT,3,51.07164663171469,,,,,,,,,,,,,
dev_0133,0,6,RESTART_CONDITIONED,1,51,5aa58cbf3941cd0f1ad729e9e71f7cb32a6a9dfb10598019b18d562bc4cdd8f3,,,,,,,,,,,,,,,,,
dev_0133,0,12,RESTART_BASE,1,62,118c8fa1c02c9fc332dffe1fc33c6b3804449dec24b014314821374c1fcf5cd6,,,,,,,,,,,,,,,,,
dev_0133,0,18,FORK_LATENT,1,45,6bc10d6db4bf46fcdaad7c6300ca15b0c38f86c840ca3bb22cad730edcdfd270,,,,,,,,,,,,,,,,,
dev_0133,1,6,FORK_LATENT,1,45,84b38f05fb2d7c22bcb8c3d1572d1ade92a248d4765a24ebd22cadce1f0696bd,,,,,,,,,,,,,,,,,
dev_0133,1,12,CONTINUE,1,45,f9139f6e2142b0dfb9a2dd6a1f94ed1bb7018180ef62f6e9ff948eed501f5339,,,,,,,,,,,,,,,,,
