replicate,best_static_cqs,promptonly_policy_cqs,promptstate_policy_cqs,state_incremental_value,crossfit_nonstatic_share
203,0.8217655008954667,0.8319019180964174,0.8319019180964174,0.0,0.15270204592512698
204,0.7338926343012817,0.7338926343012817,0.7338926343012817,0.0,0.06446712615971777
205,0.7450725846188834,0.7526058446727059,0.7526058446727059,0.0,0.1074966202984245
206,0.8171215574733917,0.8207743209106908,0.8207743209106908,0.0,0.10936860766398473
207,0.8274880368283966,0.8352615744947202,0.8352615744947202,0.0,0.058069335917782204
208,0.710831098860575,0.716643853168576,0.716643853168576,0.0,0.08246610789222028
209,0.8087924795519955,0.8204376100359262,0.8204376100359262,0.0,0.11009764368824182
210,0.9093108788230739,0.9130655345962327,0.9130655345962327,0.0,0.12569586286995876
211,0.7884512675286608,0.7942268758306319,0.7942268758306319,0.0,0.11195364608562805
212,0.8040113470727037,0.8098450235634775,0.8098450235634775,0.0,0.11223862841605062
213,0.8253272153869059,0.8331945967163411,0.8331945967163411,0.0,0.09864850232130046
214,0.724118219257687,0.7297556785163848,0.7297556785163848,0.0,0.11581583668106823
215,0.7865917451317876,0.7901353312409299,0.7901353312409299,0.0,0.17234315412912152
216,0.8802396591748443,0.8902804157433787,0.8902804157433787,0.0,0.12733459955682178
217,0.792311231238139,0.792311231238139,0.792311231238139,0.0,0.1000376994396202
218,0.8336999740822919,0.8393892270833728,0.8393892270833728,0.0,0.11495451758295247
219,0.8214621685770523,0.832479448882714,0.832479448882714,0.0,0.12920791362741693
220,0.8655441678867741,0.8726207906295754,0.8726207906295754,0.0,0.10741825280624695
221,0.8320490536886829,0.8454712244109694,0.8454712244109694,0.0,0.12281447148191063
222,0.7662888141393323,0.780239544243744,0.780239544243744,0.0,0.092716455056289
223,0.8621185388485918,0.8640244832167985,0.8640244832167985,0.0,0.10250713367749244
224,0.7792167839732798,0.78347633246114,0.78347633246114,0.0,0.1654226080606884
225,0.728959349593496,0.7309105691056911,0.7309105691056911,0.0,0.14723902439024392
226,0.688616381618639,0.6967000860906053,0.6967000860906053,0.0,0.1305289488133732
227,0.7670834099405528,0.7795448509734223,0.7795448509734223,0.0,0.083011583011583
228,0.7640410465831599,0.7701273543540006,0.7701273543540006,0.0,0.09508383398123062
229,0.7783362218370884,0.7821875601771615,0.7821875601771615,0.0,0.11727967135246163
230,0.7555532926001358,0.7616123557365919,0.7616123557365919,0.0,0.14427359131025116
231,0.7661456517883894,0.7811431751331583,0.7811431751331583,0.0,0.19856353996587717
232,0.7814444260190763,0.7965071643972754,0.7965071643972754,0.0,0.10858990658338398
233,0.7197057570693667,0.7299288967528426,0.7299288967528426,0.0,0.13516497919328943
234,0.784193642461359,0.7940858718417773,0.7940858718417773,0.0,0.07413372570852886
235,0.7604226001573221,0.7622026473540021,0.7622026473540021,0.0,0.14376339273605118
236,0.69652963955913,0.7134253053321417,0.7134253053321417,0.0,0.10038104458345744
237,0.840348277634275,0.8480573743684212,0.8480573743684212,0.0,0.05539202926119487
238,0.7814991859780389,0.792306626485157,0.792306626485157,0.0,0.09003429284007065
239,0.8729364460257361,0.8843046227414271,0.8843046227414271,0.0,0.11687817500332959
240,0.8086381408265428,0.8174991778419263,0.8174991778419263,0.0,0.12635656082142727
241,0.7127606234070112,0.7367860276605523,0.7367860276605523,0.0,0.1299739550690121
242,0.7432795698924731,0.7526024444607736,0.7526024444607736,0.0,0.10668797609425136
243,0.7423067249255678,0.7440615111048718,0.7440615111048718,0.0,0.07512824562327079
244,0.803469884740922,0.8108807629538963,0.8108807629538963,0.0,0.09643704100367197
245,0.7893200404000913,0.7992408692535757,0.7992408692535757,0.0,0.11210699508031147
246,0.7586073877282669,0.7638905660883684,0.7638905660883684,0.0,0.0729783037475345
247,0.7190277373207755,0.7229116095413795,0.7229116095413795,0.0,0.0967569666957957
248,0.6934756185492675,0.7059908118909787,0.7059908118909787,0.0,0.09913955899823518
249,0.7323147546506871,0.7379100185305514,0.7379100185305514,0.0,0.08231355136813226
250,0.8117048346055981,0.8172597928538151,0.8172597928538151,0.0,0.06758831188999989
251,0.8285128487440625,0.8380408929541877,0.8380408929541877,0.0,0.08493369187010805
252,0.7898473367051095,0.7952725130233399,0.7952725130233399,0.0,0.10702472830366985
253,0.7825855965803871,0.8044894563956844,0.8044894563956844,0.0,0.1043431270757816
254,0.6922439210069611,0.7042438435881058,0.7042438435881058,0.0,0.12469274391778114
255,0.7556357649442756,0.7627596251266463,0.7627596251266463,0.0,0.14604229989868286
256,0.8025239924972227,0.8135869466246607,0.8135869466246607,0.0,0.11638713358706801
257,0.7512048334391235,0.7693214142981404,0.7693214142981404,0.0,0.1460375672943555
258,0.7451125536195575,0.7526572524010174,0.7526572524010174,0.0,0.09649305950980021
259,0.740165760257823,0.740165760257823,0.740165760257823,0.0,0.06794511783314967
260,0.8548861268234592,0.8586074724620422,0.8586074724620422,0.0,0.07507194601567926
