prompt_id,stratum,design_weight,checkpoint_step,fold,tier,direction,source_root,target_root,selected_action,selected_predicted_value,all_action_values,target_program_cqs,target_program_nfe
dev_0030,low_risk_instrumental,2.3333333333333335,18,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.838735937389604,"{""CONTINUE"": 0.5612950737842793, ""FORK_LATENT"": 0.5612950737842793, ""RESTART_BASE"": 0.7783432691546146, ""RESTART_CONDITIONED"": 0.838735937389604, ""SWITCH_CONDITION"": 0.6345008071364673}",1,90
dev_0070,low_risk_instrumental,2.3333333333333335,6,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.8337747035254182,"{""CONTINUE"": 0.45668584633437403, ""FORK_LATENT"": 0.45668584633437403, ""RESTART_BASE"": 0.7530067824488444, ""RESTART_CONDITIONED"": 0.8337747035254182, ""SWITCH_CONDITION"": 0.5898030264730283}",0,90
dev_0070,low_risk_instrumental,2.3333333333333335,12,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.8337747035254182,"{""CONTINUE"": 0.45668584633437403, ""FORK_LATENT"": 0.45668584633437403, ""RESTART_BASE"": 0.7530067824488444, ""RESTART_CONDITIONED"": 0.8337747035254182, ""SWITCH_CONDITION"": 0.5898030264730283}",1,90
dev_0070,low_risk_instrumental,2.3333333333333335,18,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.8337747035254182,"{""CONTINUE"": 0.45668584633437403, ""FORK_LATENT"": 0.45668584633437403, ""RESTART_BASE"": 0.7530067824488444, ""RESTART_CONDITIONED"": 0.8337747035254182, ""SWITCH_CONDITION"": 0.5898030264730283}",1,90
dev_0074,high_risk_instrumental,4.0,6,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.6689648913127855,"{""CONTINUE"": 0.10758497083196586, ""FORK_LATENT"": 0.10758497083196582, ""RESTART_BASE"": 0.2179394548954517, ""RESTART_CONDITIONED"": 0.6689648913127855, ""SWITCH_CONDITION"": 0.3298472107502992}",0,90
dev_0074,high_risk_instrumental,4.0,12,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.6689648913127855,"{""CONTINUE"": 0.10758497083196586, ""FORK_LATENT"": 0.10758497083196582, ""RESTART_BASE"": 0.2179394548954517, ""RESTART_CONDITIONED"": 0.6689648913127855, ""SWITCH_CONDITION"": 0.3298472107502992}",0,90
dev_0074,high_risk_instrumental,4.0,18,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.6689648913127855,"{""CONTINUE"": 0.10758497083196586, ""FORK_LATENT"": 0.10758497083196582, ""RESTART_BASE"": 0.2179394548954517, ""RESTART_CONDITIONED"": 0.6689648913127855, ""SWITCH_CONDITION"": 0.3298472107502992}",0,90
dev_0080,medium_risk_instrumental,2.4,6,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.7981875668745282,"{""CONTINUE"": 0.3660569503639229, ""FORK_LATENT"": 0.3660569503639229, ""RESTART_BASE"": 0.6481966625275708, ""RESTART_CONDITIONED"": 0.7981875668745282, ""SWITCH_CONDITION"": 0.5270172154632214}",1,90
dev_0080,medium_risk_instrumental,2.4,12,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.7981875668745282,"{""CONTINUE"": 0.3660569503639229, ""FORK_LATENT"": 0.3660569503639229, ""RESTART_BASE"": 0.6481966625275708, ""RESTART_CONDITIONED"": 0.7981875668745282, ""SWITCH_CONDITION"": 0.5270172154632214}",1,90
dev_0080,medium_risk_instrumental,2.4,18,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.7981875668745282,"{""CONTINUE"": 0.3660569503639229, ""FORK_LATENT"": 0.3660569503639229, ""RESTART_BASE"": 0.6481966625275708, ""RESTART_CONDITIONED"": 0.7981875668745282, ""SWITCH_CONDITION"": 0.5270172154632214}",1,90
