unit_id,prompt_rank,prompt_id,live_stratum,requested_vocal,policy_index,policy,rep,seed,nominal_step_budget,output_ledger
w2live_17_2_0,17,held_out_0161,instrumental_risk,0,2,always_direction_condition,0,2035001700,60,live_ledgers/live_w{worker}.jsonl
w2live_17_2_1,17,held_out_0161,instrumental_risk,0,2,always_direction_condition,1,2035001701,60,live_ledgers/live_w{worker}.jsonl
w2live_17_3_0,17,held_out_0161,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001700,60,live_ledgers/live_w{worker}.jsonl
w2live_17_3_1,17,held_out_0161,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001701,60,live_ledgers/live_w{worker}.jsonl
w2live_18_0_0,18,held_out_0140,instrumental_risk,0,0,no_probe_reseed,0,2035001800,60,live_ledgers/live_w{worker}.jsonl
w2live_18_0_1,18,held_out_0140,instrumental_risk,0,0,no_probe_reseed,1,2035001801,60,live_ledgers/live_w{worker}.jsonl
w2live_18_1_0,18,held_out_0140,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001800,60,live_ledgers/live_w{worker}.jsonl
w2live_18_1_1,18,held_out_0140,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001801,60,live_ledgers/live_w{worker}.jsonl
w2live_18_2_0,18,held_out_0140,instrumental_risk,0,2,always_direction_condition,0,2035001800,60,live_ledgers/live_w{worker}.jsonl
w2live_18_2_1,18,held_out_0140,instrumental_risk,0,2,always_direction_condition,1,2035001801,60,live_ledgers/live_w{worker}.jsonl
w2live_18_3_0,18,held_out_0140,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001800,60,live_ledgers/live_w{worker}.jsonl
w2live_18_3_1,18,held_out_0140,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001801,60,live_ledgers/live_w{worker}.jsonl
w2live_19_0_0,19,held_out_0124,instrumental_risk,0,0,no_probe_reseed,0,2035001900,60,live_ledgers/live_w{worker}.jsonl
w2live_19_0_1,19,held_out_0124,instrumental_risk,0,0,no_probe_reseed,1,2035001901,60,live_ledgers/live_w{worker}.jsonl
w2live_19_1_0,19,held_out_0124,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001900,60,live_ledgers/live_w{worker}.jsonl
w2live_19_1_1,19,held_out_0124,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001901,60,live_ledgers/live_w{worker}.jsonl
w2live_19_2_0,19,held_out_0124,instrumental_risk,0,2,always_direction_condition,0,2035001900,60,live_ledgers/live_w{worker}.jsonl
w2live_19_2_1,19,held_out_0124,instrumental_risk,0,2,always_direction_condition,1,2035001901,60,live_ledgers/live_w{worker}.jsonl
w2live_19_3_0,19,held_out_0124,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001900,60,live_ledgers/live_w{worker}.jsonl
