task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,inference_steps,neutral_insertion,neutral_full_text_sha256,generation_config_sha256,output_path
neutral_control_06_02,6,held_out_0253,neutral_matched,2,2071006002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s02_2071006002.flac
neutral_control_06_03,6,held_out_0253,neutral_matched,3,2071006003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s03_2071006003.flac
neutral_control_06_04,6,held_out_0253,neutral_matched,4,2071006004,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s04_2071006004.flac
neutral_control_06_05,6,held_out_0253,neutral_matched,5,2071006005,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s05_2071006005.flac
neutral_control_06_06,6,held_out_0253,neutral_matched,6,2071006006,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s06_2071006006.flac
neutral_control_06_07,6,held_out_0253,neutral_matched,7,2071006007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s07_2071006007.flac
neutral_control_07_00,7,held_out_0088,neutral_matched,0,2071007000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",2889ce4b64edf01492bcc870bf60341408451f59769ae69af22e1bb199224673,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0088/neutral_matched_s00_2071007000.flac
neutral_control_07_01,7,held_out_0088,neutral_matched,1,2071007001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",2889ce4b64edf01492bcc870bf60341408451f59769ae69af22e1bb199224673,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0088/neutral_matched_s01_2071007001.flac
neutral_control_07_02,7,held_out_0088,neutral_matched,2,2071007002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",2889ce4b64edf01492bcc870bf60341408451f59769ae69af22e1bb199224673,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0088/neutral_matched_s02_2071007002.flac
neutral_control_07_03,7,held_out_0088,neutral_matched,3,2071007003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",2889ce4b64edf01492bcc870bf60341408451f59769ae69af22e1bb199224673,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0088/neutral_matched_s03_2071007003.flac
