legacy_packet,legacy_row_id,media_class,flip_risk,new_primary_rating_ids,decisive_rating_ids,canonical_conflict,classification
rare_basin,0a0c7b4e32,original,no,aprime_0652_9cbc424a39c7,,no,LEGACY_NON_PRIMARY
rare_basin,96208fa985,original,no,aprime_0450_30f99bdb26e3,,no,LEGACY_NON_PRIMARY
rare_basin,16251803a3,original,no,aprime_0051_63864ca8c042,,no,LEGACY_NON_PRIMARY
rare_basin,7748df8143,original,no,aprime_0405_268bd5265d8e,decisive_38_217a8f3c70ce,no,LEGACY_NON_PRIMARY
rare_basin,1b26f35933,original,no,aprime_0644_d370ede41172,,no,LEGACY_NON_PRIMARY
spotcheck,cb74d50a62,original,no,aprime_0560_b05493151a2a,,no,LEGACY_NON_PRIMARY
spotcheck,c0bba8ee6b,original,no,aprime_0199_0b332e9c48bb,,no,LEGACY_NON_PRIMARY
spotcheck,63c6733bc5,original,no,aprime_0620_236a995d6151,,no,LEGACY_NON_PRIMARY
spotcheck,d981650d64,original,no,aprime_0534_77fb5f4d206c,,no,LEGACY_NON_PRIMARY
spotcheck,0633d156ca,original,no,aprime_0331_f1ff243304fe,,no,LEGACY_NON_PRIMARY
spotcheck,ed00dc61dc,original,no,aprime_0089_0605fcbde128,,no,LEGACY_NON_PRIMARY
spotcheck,b3617ad47e,original,no,aprime_0109_dd82db742d14,,no,LEGACY_NON_PRIMARY
spotcheck,bec2ff45d5,original,no,aprime_0538_8bc15fc6a73b,,no,LEGACY_NON_PRIMARY
spotcheck,1f31df91c6,original,no,aprime_0035_dd7fe5ad978b,,no,LEGACY_NON_PRIMARY
spotcheck,18457d8685,original,no,aprime_0072_8bbd84c662c3,,no,LEGACY_NON_PRIMARY
spotcheck,a2b12a2559,original,no,aprime_0508_7023bce96948,,no,LEGACY_NON_PRIMARY
spotcheck,0599f7b6cf,original,no,aprime_0336_508baa6a6950,,no,LEGACY_NON_PRIMARY
spotcheck,24e7154ef5,original,no,aprime_0529_8e2c9a3cee0a,,no,LEGACY_NON_PRIMARY
spotcheck,6512aa9084,original,no,aprime_0009_29c5a77f0573,,no,LEGACY_NON_PRIMARY
spotcheck,a04761fb39,original,no,aprime_0142_a2eefd741ab7,,no,LEGACY_NON_PRIMARY
