source_path,prompt_id,arm,rep,attempt,seed,requested_vocal,type_correct,prompt_vocal_stratum,clap_score,status,error,elapsed_s,device
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t03_seed2026334003.flac,held_out_0016,6,0,3,2026334003,1,1,vocal,0.2929821014404297,ok,,0.552,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t05_seed2026334005.flac,held_out_0016,6,0,5,2026334005,1,1,vocal,0.42741307616233826,ok,,0.493,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t06_seed2026334006.flac,held_out_0016,6,0,6,2026334006,1,1,vocal,0.09292463958263397,ok,,0.394,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t02_seed2026334102.flac,held_out_0016,6,1,2,2026334102,1,1,vocal,0.24924050271511078,ok,,0.854,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t03_seed2026334103.flac,held_out_0016,6,1,3,2026334103,1,1,vocal,0.41433241963386536,ok,,0.633,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t04_seed2026334104.flac,held_out_0016,6,1,4,2026334104,1,1,vocal,0.2895112931728363,ok,,0.439,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r1_t05_seed2026334105.flac,held_out_0016,6,1,5,2026334105,1,1,vocal,0.3642239272594452,ok,,0.896,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t02_seed2026334202.flac,held_out_0016,6,2,2,2026334202,1,1,vocal,0.2622990906238556,ok,,0.664,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t03_seed2026334203.flac,held_out_0016,6,2,3,2026334203,1,1,vocal,0.4094451367855072,ok,,0.651,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t04_seed2026334204.flac,held_out_0016,6,2,4,2026334204,1,1,vocal,0.5567525625228882,ok,,0.494,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r2_t07_seed2026334207.flac,held_out_0016,6,2,7,2026334207,1,1,vocal,0.44757333397865295,ok,,0.505,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a1_r0_t01_seed2026335001.flac,held_out_0017,1,0,1,2026335001,1,0,vocal,0.4392472505569458,ok,,0.391,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a1_r1_t03_seed2026335103.flac,held_out_0017,1,1,3,2026335103,1,0,vocal,0.512792706489563,ok,,0.399,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r0_t04_seed2026335004.flac,held_out_0017,6,0,4,2026335004,1,1,vocal,0.4034684896469116,ok,,0.499,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r0_t06_seed2026335006.flac,held_out_0017,6,0,6,2026335006,1,1,vocal,0.2840748131275177,ok,,0.559,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r0_t07_seed2026335007.flac,held_out_0017,6,0,7,2026335007,1,1,vocal,0.5181587338447571,ok,,0.591,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r1_t02_seed2026335102.flac,held_out_0017,6,1,2,2026335102,1,1,vocal,0.3274676501750946,ok,,0.592,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r1_t04_seed2026335104.flac,held_out_0017,6,1,4,2026335104,1,1,vocal,0.3261379897594452,ok,,0.392,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r1_t06_seed2026335106.flac,held_out_0017,6,1,6,2026335106,1,1,vocal,0.2567814886569977,ok,,0.577,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r2_t02_seed2026335202.flac,held_out_0017,6,2,2,2026335202,1,1,vocal,0.44646650552749634,ok,,0.46,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r2_t04_seed2026335204.flac,held_out_0017,6,2,4,2026335204,1,1,vocal,0.2894429564476013,ok,,0.401,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0017/a6_r2_t07_seed2026335207.flac,held_out_0017,6,2,7,2026335207,1,1,vocal,0.28185221552848816,ok,,0.539,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0018/a1_r0_t04_seed2026336004.flac,held_out_0018,1,0,4,2026336004,1,1,vocal,0.40932682156562805,ok,,0.556,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0018/a1_r1_t01_seed2026336101.flac,held_out_0018,1,1,1,2026336101,1,1,vocal,0.12392149865627289,ok,,0.51,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0018/a6_r0_t04_seed2026336004.flac,held_out_0018,6,0,4,2026336004,1,1,vocal,0.3577577471733093,ok,,0.471,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0018/a6_r1_t01_seed2026336101.flac,held_out_0018,6,1,1,2026336101,1,1,vocal,0.2600485682487488,ok,,0.611,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0019/a1_r0_t00_seed2026337000.flac,held_out_0019,1,0,0,2026337000,0,1,instrumental,0.38961532711982727,ok,,0.264,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0019/a1_r1_t02_seed2026337102.flac,held_out_0019,1,1,2,2026337102,0,1,instrumental,0.5730315446853638,ok,,0.281,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0019/a6_r0_t00_seed2026337000.flac,held_out_0019,6,0,0,2026337000,0,1,instrumental,0.37140989303588867,ok,,0.213,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0019/a6_r1_t02_seed2026337102.flac,held_out_0019,6,1,2,2026337102,0,1,instrumental,0.5472384691238403,ok,,0.354,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0020/a1_r0_t00_seed2026338000.flac,held_out_0020,1,0,0,2026338000,0,1,instrumental,0.4682346284389496,ok,,0.239,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0020/a1_r1_t04_seed2026338104.flac,held_out_0020,1,1,4,2026338104,0,1,instrumental,0.4735102951526642,ok,,0.369,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0020/a6_r0_t00_seed2026338000.flac,held_out_0020,6,0,0,2026338000,0,1,instrumental,0.46747830510139465,ok,,0.27,cuda
