task_id,prompt_id,condition,seed_idx,seed,output_path,apparent_violation,candidate_violation,implementation_role,requested_vocal,demucs_score,panns_score,near_silent,design_weight,corrected_present,corrected_violation,calibrated_violation_probability,calibrated_satisfaction_probability,instrument_status
w2fact_04_0_00,held_out_0041,plain_baseline,0,2034004000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s00_2034004000.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.6454640030860901,0.10187643021345139,0,1.0,1,1,0.9961020488676409,0.0038979511323591343,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_01,held_out_0041,plain_baseline,1,2034004001,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s01_2034004001.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.05268597975373268,0.059787996113300323,0,1.0,1,1,0.2819495907118081,0.7180504092881919,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_02,held_out_0041,plain_baseline,2,2034004002,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s02_2034004002.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.8589295148849487,0.33725589513778687,0,1.0,1,1,0.9999852647082034,1.4735291796630356e-05,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_03,held_out_0041,plain_baseline,3,2034004003,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s03_2034004003.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,1.6537984265596606e-05,0.033356815576553345,0,1.0,0,0,7.336253197754108e-07,0.9999992663746802,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_04,held_out_0041,plain_baseline,4,2034004004,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s04_2034004004.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.1759950816631317,0.2921222448348999,0,1.0,1,1,0.9969603297677445,0.003039670232255487,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_05,held_out_0041,plain_baseline,5,2034004005,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s05_2034004005.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.6984809637069702,0.09402994066476822,0,1.0,1,1,0.9965296537958432,0.00347034620415676,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_06,held_out_0041,plain_baseline,6,2034004006,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s06_2034004006.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,3.766713689401513e-06,0.022975975647568703,0,1.0,0,0,3.2986294539710755e-08,0.9999999670137054,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_07,held_out_0041,plain_baseline,7,2034004007,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s07_2034004007.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.24120819568634033,0.03434222564101219,0,1.0,1,1,0.5168932104423622,0.48310678955763775,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_08,held_out_0041,plain_baseline,8,2034004008,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s08_2034004008.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.09943928569555283,0.1277521401643753,0,1.0,1,1,0.8992518675606749,0.10074813243932512,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_09,held_out_0041,plain_baseline,9,2034004009,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s09_2034004009.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.21705393493175507,0.19628094136714935,0,1.0,1,1,0.9919908478801542,0.008009152119845764,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_10,held_out_0041,plain_baseline,10,2034004010,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s10_2034004010.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.3380481004714966,0.06700439751148224,0,1.0,1,1,0.9276136999599047,0.07238630004009527,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_11,held_out_0041,plain_baseline,11,2034004011,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s11_2034004011.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.689820408821106,0.6201274394989014,0,1.0,1,1,0.9999968780319651,3.1219680348693046e-06,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_12,held_out_0041,plain_baseline,12,2034004012,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s12_2034004012.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.9781144857406616,0.1835024505853653,0,1.0,1,1,0.99989683689299,0.00010316310700997366,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_13,held_out_0041,plain_baseline,13,2034004013,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s13_2034004013.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.3184526264667511,0.06517685949802399,0,1.0,1,1,0.9127244588800459,0.08727554111995406,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_14,held_out_0041,plain_baseline,14,2034004014,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s14_2034004014.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.8081099987030029,0.3155801296234131,0,1.0,1,1,0.9999678312445811,3.216875541889319e-05,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_04_0_15,held_out_0041,plain_baseline,15,2034004015,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s15_2034004015.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.7288956046104431,0.1704477220773697,0,1.0,1,1,0.9995130154850488,0.0004869845149512164,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_10_0_00,held_out_0046,plain_baseline,0,2034010000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0046/plain_baseline_s00_2034010000.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.008702307008206844,0.2653048038482666,0,1.0,1,1,0.7073920652175735,0.2926079347824265,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
